data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 22:45,Nowoczesny Apartament ul.Krakowska bezpośrednio! 2pokoje/ rzeka/balkon,3000,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-ul-krakowska-bezposrednio-2pokoje-rzeka-balkon-ID49wjo,NIE,800,5,2,"ul. Krakowska, Wrocław",2023,miejskie,3000,do zamieszkania,43,2026-02-10
2026-02-07 22:47,Mieszkanie 2-pokojowe Iwaszkiewicza Klima Garaż duży taras,3000,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-iwaszkiewicza-klima-garaz-duzy-taras-ID4xPcG,NIE,650,2,2,"ul. Jarosława Iwaszkiewicza, Wrocław",2020,miejskie,3000,do zamieszkania,49,2026-02-10
2026-02-07 22:47,First rent | Nadodrze | Studio | Kaszubska 11,1950,https://www.otodom.pl/pl/oferta/first-rent-nadodrze-studio-kaszubska-11-ID4zVZ6,NIE,300,0,1,"ul. Kaszubska, Wrocław",brak,miejskie,2600,do zamieszkania,23,2026-02-10
2026-02-07 22:47,City Center  I River View,6500,https://www.otodom.pl/pl/oferta/city-center-i-river-view-ID4zSRq,NIE,1100,3,4,"ul. gen. Władysława Sikorskiego, Wrocław",2018,brak,8000,brak,75,2026-02-10
2026-02-07 22:47,Pierwszy wynajem. Całkiem nowe. Centrum,2800,https://www.otodom.pl/pl/oferta/pierwszy-wynajem-calkiem-nowe-centrum-ID4zX09,NIE,500,7,1,Wrocław,2024,inne,brak,do zamieszkania,30,2026-02-10
2026-02-07 22:48,2 pokojowe#Grabiszyńska#Firlej#NajemOkazjonalny,2800,https://www.otodom.pl/pl/oferta/2-pokojowe-grabiszynska-firlej-najemokazjonalny-ID4zVYp,NIE,750,1,2,"ul. Grabiszyńska, Wrocław",1970,miejskie,3700,do zamieszkania,44,2026-02-10
2026-02-07 22:48,Gotowe M2|pełne wyposażenie|balkon|parkingx2,3000,https://www.otodom.pl/pl/oferta/gotowe-m2-pelne-wyposazenie-balkon-parkingx2-ID4zVYh,NIE,700,2,2,"ul. Stanisława Kunickiego, Wrocław",2021,miejskie,3500,do zamieszkania,49.8,2026-02-10
2026-02-07 22:48,"Wrocław Nadodrze, ulica Ludwika Rydygiera 63/16",2300,https://www.otodom.pl/pl/oferta/wroclaw-nadodrze-ulica-ludwika-rydygiera-63-16-ID4zl0A,NIE,750,3,2,Wrocław,brak,electrical,2500,brak,62,2026-02-10
2026-02-07 22:48,"2pok, balkon,parking/Walońska/Angel,1-bedr to rent",3300,https://www.otodom.pl/pl/oferta/2pok-balkon-parking-walonska-angel-1-bedr-to-rent-ID4zNN8,NIE,800,3,2,Wrocław,2011,miejskie,4500,do zamieszkania,52,2026-02-10
2026-02-07 22:48,Loftowy apartament 48 m² | 3 pokoje | Centrum,3300,https://www.otodom.pl/pl/oferta/loftowy-apartament-48-m-3-pokoje-centrum-ID4zVVu,NIE,0,4,3,"ul. Księcia Józefa Poniatowskiego, Wrocław",2019,miejskie,4000,do zamieszkania,48.2,2026-02-10
2026-02-07 22:48,Dwupokojowe mieszkanie z garderobą w centrum Wrocławia,3000,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-garderoba-w-centrum-wroclawia-ID4zVWx,NIE,850,2,2,"ul. Jedności Narodowej, Wrocław",2004,miejskie,3000,do zamieszkania,56,2026-02-10
2026-02-07 22:49,"2pok+kuchnia,39m2/balkon/Gajowicka/Jastrzębia",2300,https://www.otodom.pl/pl/oferta/2pok-kuchnia-39m2-balkon-gajowicka-jastrzebia-ID4zVRB,NIE,0,3,2,Wrocław,1964,miejskie,3500,do zamieszkania,39,2026-02-10
2026-02-07 22:49,3 POKOJE | Promenady Wrocławskie | ul. Zakładowa,4350,https://www.otodom.pl/pl/oferta/3-pokoje-promenady-wroclawskie-ul-zakladowa-ID4zVUE,NIE,600,2,3,"ul. Zakładowa, Wrocław",2017,miejskie,6000,do zamieszkania,63,2026-02-10
2026-02-07 22:49,"Dwa osobne pokoje, 34m2, ul. Gazowa",2100,https://www.otodom.pl/pl/oferta/dwa-osobne-pokoje-34m2-ul-gazowa-ID4zVSM,NIE,740,1,2,"ul. Gazowa, Wrocław",2019,miejskie,brak,do zamieszkania,34,2026-02-10
2026-02-07 22:49,"Przestronna kawalerka - bez prowizji, w centrum Wrocławia",2100,https://www.otodom.pl/pl/oferta/przestronna-kawalerka-bez-prowizji-w-centrum-wroclawia-ID4zJRH,NIE,890,1,1,"ul. Grabiszyńska, Wrocław",2025,miejskie,brak,do zamieszkania,28.62,2026-02-10
