data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-08 02:34,"4 pokojowe, 2poziomowe,2 garaże 135m2 ul.Saperów",5000,https://www.otodom.pl/pl/oferta/4-pokojowe-2poziomowe-2-garaze-135m2-ul-saperow-ID4zDR2,NIE,1700,3,4,"ul. Saperów, Wrocław",1995,miejskie,5000,brak,135,2026-02-14
2026-02-08 02:35,"Gądów, Skrzydlata, ciepłe, ciche z MP w garażu od zaraz",5000,https://www.otodom.pl/pl/oferta/gadow-skrzydlata-cieple-ciche-z-mp-w-garazu-od-zaraz-ID4zDML,TAK,1300,3,5,"ul. Skrzydlata, Wrocław",2016,miejskie,5000,brak,86,2026-02-14
2026-02-08 02:37,"Duże, jasne 3 pokoje od zaraz, centrum, doskonała lokalizacja",2800,https://www.otodom.pl/pl/oferta/duze-jasne-3-pokoje-od-zaraz-centrum-doskonala-lokalizacja-ID4yWps,NIE,1000,3,3,"ul. Strońska, Wrocław",2007,other,4000,brak,64,2026-02-14
2026-02-08 02:41,Polecam na wynajem mieszkanie 2 pokojowe   bezpośrednio,2700,https://www.otodom.pl/pl/oferta/polecam-na-wynajem-mieszkanie-2-pokojowe-bezposrednio-ID4ji1E,NIE,830,3,2,Wrocław,2022,miejskie,3000,brak,49,2026-02-14
2026-02-08 02:44,Kawalerka w centrum Wrocławia,2300,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-wroclawia-ID4ycuM,TAK,600,6,1,"ul. Krawiecka, Wrocław",2014,other,3000,brak,25,2026-02-14
2026-02-08 02:45,Wełniana Stabłowice 2 pokoje nowy blok 2023,2800,https://www.otodom.pl/pl/oferta/welniana-stablowice-2-pokoje-nowy-blok-2023-ID4zC8B,TAK,280,1,2,Wrocław,2023,brak,2800,brak,45,2026-02-14
2026-02-08 02:48,"3 oddzielne pokoje + salon z kuchnią, z balkonem",4500,https://www.otodom.pl/pl/oferta/3-oddzielne-pokoje-salon-z-kuchnia-z-balkonem-ID4zBFi,TAK,1235,2,4,Wrocław,1990,brak,0,brak,84.37,2026-02-14
2026-02-08 02:48,"2 pokoje z miejscem postojowym, Corte Verona",3000,https://www.otodom.pl/pl/oferta/2-pokoje-z-miejscem-postojowym-corte-verona-ID4wHda,TAK,850,5,2,Wrocław,2010,miejskie,3000,brak,47,2026-02-14
2026-02-08 02:49,Styl i szyk na Starym Mieście,3700,https://www.otodom.pl/pl/oferta/styl-i-szyk-na-starym-miescie-ID4zel9,TAK,839,1,2,"ul. Bernardyńska, Wrocław",2024,miejskie,5000,brak,34.42,2026-02-14
2026-02-08 02:49,"Nowe, narożne, 3.pok, z balkonem i garażem z 2023!",3300,https://www.otodom.pl/pl/oferta/nowe-narozne-3-pok-z-balkonem-i-garazem-z-2023-ID4zmxp,NIE,680,3,3,"ul. Jeździecka, Wrocław",2023,miejskie,5000,brak,56,2026-02-14
2026-02-08 02:52,"Mieszkanie, 16,14 m², Wrocław",2550,https://www.otodom.pl/pl/oferta/mieszkanie-16-14-m-wroclaw-ID4zg0c,TAK,700,9,1,"wyb. Ludwika Pasteura, Wrocław",brak,miejskie,4875,brak,16.14,2026-02-14
2026-02-08 02:53,Duze mieszkanie w Angel City-,3800,https://www.otodom.pl/pl/oferta/duze-mieszkanie-w-angel-city-ID4hWT7,TAK,1100,5,2,Wrocław,2022,miejskie,3800,brak,51,2026-02-14
